DateRep,Day,Month,Year,Cases,Deaths,Countries and territories,GeoId
1/1/2020,1,1,2020,0,0,South_Korea,KR
1/2/2020,2,1,2020,0,0,South_Korea,KR
1/3/2020,3,1,2020,0,0,South_Korea,KR
1/4/2020,4,1,2020,0,0,South_Korea,KR
1/5/2020,5,1,2020,0,0,South_Korea,KR
1/6/2020,6,1,2020,0,0,South_Korea,KR
1/7/2020,7,1,2020,0,0,South_Korea,KR
1/8/2020,8,1,2020,0,0,South_Korea,KR
1/9/2020,9,1,2020,0,0,South_Korea,KR
1/10/2020,10,1,2020,0,0,South_Korea,KR
1/11/2020,11,1,2020,0,0,South_Korea,KR
1/12/2020,12,1,2020,0,0,South_Korea,KR
1/13/2020,13,1,2020,0,0,South_Korea,KR
1/14/2020,14,1,2020,0,0,South_Korea,KR
1/15/2020,15,1,2020,0,0,South_Korea,KR
1/16/2020,16,1,2020,0,0,South_Korea,KR
1/17/2020,17,1,2020,0,0,South_Korea,KR
1/18/2020,18,1,2020,0,0,South_Korea,KR
1/19/2020,19,1,2020,0,0,South_Korea,KR
1/20/2020,20,1,2020,1,0,South_Korea,KR
1/21/2020,21,1,2020,0,0,South_Korea,KR
1/22/2020,22,1,2020,0,0,South_Korea,KR
1/23/2020,23,1,2020,0,0,South_Korea,KR
1/24/2020,24,1,2020,1,0,South_Korea,KR
1/25/2020,25,1,2020,0,0,South_Korea,KR
1/26/2020,26,1,2020,1,0,South_Korea,KR
1/27/2020,27,1,2020,1,0,South_Korea,KR
1/28/2020,28,1,2020,0,0,South_Korea,KR
1/29/2020,29,1,2020,0,0,South_Korea,KR
1/30/2020,30,1,2020,0,0,South_Korea,KR
1/31/2020,31,1,2020,3,0,South_Korea,KR
2/1/2020,1,2,2020,5,0,South_Korea,KR
2/2/2020,2,2,2020,3,0,South_Korea,KR
2/3/2020,3,2,2020,0,0,South_Korea,KR
2/4/2020,4,2,2020,1,0,South_Korea,KR
2/5/2020,5,2,2020,2,0,South_Korea,KR
2/6/2020,6,2,2020,5,0,South_Korea,KR
2/7/2020,7,2,2020,1,0,South_Korea,KR
2/8/2020,8,2,2020,0,0,South_Korea,KR
2/9/2020,9,2,2020,1,0,South_Korea,KR
2/10/2020,10,2,2020,2,0,South_Korea,KR
2/11/2020,11,2,2020,1,0,South_Korea,KR
2/12/2020,12,2,2020,0,0,South_Korea,KR
2/13/2020,13,2,2020,0,0,South_Korea,KR
2/14/2020,14,2,2020,0,0,South_Korea,KR
2/15/2020,15,2,2020,0,0,South_Korea,KR
2/16/2020,16,2,2020,1,0,South_Korea,KR
2/17/2020,17,2,2020,1,0,South_Korea,KR
2/18/2020,18,2,2020,1,0,South_Korea,KR
2/19/2020,19,2,2020,15,0,South_Korea,KR
2/20/2020,20,2,2020,34,0,South_Korea,KR
2/21/2020,21,2,2020,75,1,South_Korea,KR
2/22/2020,22,2,2020,190,1,South_Korea,KR
2/23/2020,23,2,2020,256,3,South_Korea,KR
2/24/2020,24,2,2020,161,2,South_Korea,KR
2/25/2020,25,2,2020,130,1,South_Korea,KR
2/26/2020,26,2,2020,254,3,South_Korea,KR
2/27/2020,27,2,2020,449,1,South_Korea,KR
2/28/2020,28,2,2020,427,1,South_Korea,KR
2/29/2020,29,2,2020,909,3,South_Korea,KR
3/1/2020,1,3,2020,595,1,South_Korea,KR
3/2/2020,2,3,2020,686,5,South_Korea,KR
3/3/2020,3,3,2020,600,6,South_Korea,KR
3/4/2020,4,3,2020,516,4,South_Korea,KR
3/5/2020,5,3,2020,438,3,South_Korea,KR
3/6/2020,6,3,2020,518,7,South_Korea,KR
3/7/2020,7,3,2020,483,2,South_Korea,KR
3/8/2020,8,3,2020,367,6,South_Korea,KR
3/9/2020,9,3,2020,248,1,South_Korea,KR
3/10/2020,10,3,2020,131,3,South_Korea,KR
3/11/2020,11,3,2020,242,6,South_Korea,KR
3/12/2020,12,3,2020,114,6,South_Korea,KR
3/13/2020,13,3,2020,110,1,South_Korea,KR
3/14/2020,14,3,2020,107,5,South_Korea,KR
3/15/2020,15,3,2020,76,3,South_Korea,KR
3/16/2020,16,3,2020,74,0,South_Korea,KR
3/17/2020,17,3,2020,84,6,South_Korea,KR
3/18/2020,18,3,2020,93,5,South_Korea,KR
3/19/2020,19,3,2020,152,5,South_Korea,KR
3/20/2020,20,3,2020,87,9,South_Korea,KR
3/21/2020,21,3,2020,147,3,South_Korea,KR
3/22/2020,22,3,2020,98,1,South_Korea,KR
3/23/2020,23,3,2020,64,9,South_Korea,KR
3/24/2020,24,3,2020,76,7,South_Korea,KR
3/25/2020,25,3,2020,100,6,South_Korea,KR
