countriesAndTerritories,Lat,Long,Total
Afghanistan,33.93911,67.709953,166
Albania,41.153332,20.168331,243
Algeria,28.033886,1.659626,584
Andorra,42.546245,1.601554,376
Angola,-11.202692,17.873887,7
Anguilla,18.220554,-63.068615,2
Antigua_and_Barbuda,17.060816,-61.796428,7
Argentina,-38.416097,-63.616672,966
Armenia,40.069099,45.038189,532
Aruba,12.52111,-69.968338,55
Australia,-25.274398,133.775136,4707
Austria,47.516231,14.550072,10182
Azerbaijan,40.143105,47.576927,298
Bahamas,25.03428,-77.39628,15
Bahrain,25.930414,50.637772,567
Bangladesh,23.684994,90.356331,51
Barbados,13.193887,-59.543198,34
Belarus,53.709807,27.953389,152
Belgium,50.503887,4.469936,12775
Belize,17.189877,-88.49765,3
Benin,9.30769,2.315834,8
Bermuda,32.321384,-64.75737,32
Bhutan,27.514162,90.433601,4
Bolivia,-16.290154,-63.588653,115
Bosnia_and_Herzegovina,43.915886,17.679076,413
Botswana,-22.328474,24.684866,3
Brazil,-14.235004,-51.92528,5717
British_Virgin_Islands,18.420695,-64.639968,3
Brunei_Darussalam,4.535277,114.727669,129
Bulgaria,42.733883,25.48583,399
Burkina_Faso,12.238333,-1.561593,246
Burundi,-3.373056,29.918886,2
Cambodia,12.565679,104.990963,109
Cameroon,7.369722,12.354722,193
Canada,56.130366,-106.346771,8536
Cape_Verde,16.002082,-24.013197,6
Cases_on_an_international_conveyance_Japan,#N/A,#N/A,696
Cayman_Islands,19.513469,-80.566956,14
Central_African_Republic,6.611111,20.939444,6
Chad,15.454166,18.732207,7
Chile,-35.675147,-71.542969,2738
China,35.86166,104.195397,82295
Colombia,4.570868,-74.297333,906
Congo,-0.228021,15.827659,22
Costa_Rica,9.748917,-83.753428,347
Cote_dIvoire,7.539989,-5.54708,168
Croatia,45.1,15.2,867
Cuba,21.521757,-77.781167,186
Cura‡ao,#N/A,#N/A,11
Cyprus,35.126413,33.429859,262
Czech_Republic,49.817492,15.472962,3308
Democratic_Republic_of_the_Congo,-4.038333,21.758664,98
Denmark,56.26392,9.501785,2860
Djibouti,11.825138,42.590275,31
Dominica,15.414999,-61.370976,11
Dominican_Republic,18.735693,-70.162651,1109
Ecuador,-1.831239,-78.183406,2302
Egypt,26.820553,30.802498,656
El_Salvador,13.794185,-88.89653,32
Equatorial_Guinea,1.650801,10.267895,15
Eritrea,15.179384,39.782334,15
Estonia,58.595272,25.013607,745
Eswatini,-26.522503,31.465866,9
Ethiopia,9.145,40.489673,25
Falkland_Islands_(Malvinas),-51.796253,-59.523613,0
Faroe_Islands,61.892635,-6.911806,169
Fiji,-16.578193,179.414413,5
Finland,61.92411,25.748151,1384
France,46.227638,2.213749,52128
French_Polynesia,-17.679742,-149.406843,37
Gabon,-0.803689,11.609444,16
Gambia,13.443182,-15.310139,4
Georgia,42.315407,43.356892,110
Germany,51.165691,10.451526,67366
Ghana,7.946527,-1.023194,152
Gibraltar,36.137741,-5.345374,69
Greece,39.074208,21.824312,1314
Greenland,71.706936,-42.604303,10
Grenada,12.262776,-61.604171,9
Guam,13.444304,144.793731,69
Guatemala,15.783471,-90.230759,38
Guernsey,49.465691,-2.585278,60
Guinea,9.945587,-9.696645,16
Guinea_Bissau,11.803749,-15.180413,8
Guyana,4.860416,-58.93018,12
Haiti,18.971187,-72.285215,15
Holy_See,41.902916,12.453389,6
Honduras,15.199999,-86.241905,172
Hungary,47.162494,19.503304,492
Iceland,64.963051,-19.020835,1135
India,20.593684,78.96288,1397
Indonesia,-0.789275,113.921327,1528
Iran,32.427908,53.688046,44606
Iraq,33.223191,43.679291,694
Ireland,53.41291,-8.24389,3235
Isle_of_Man,54.236107,-4.548056,52
Israel,31.046051,34.851612,4916
Italy,41.87194,12.56738,105792
Jamaica,18.109581,-77.297508,38
Japan,36.204824,138.252924,1953
Jersey,49.214439,-2.13125,81
Jordan,30.585164,36.238414,274
Kazakhstan,48.019573,66.923684,340
Kenya,-0.023559,37.906193,59
Kosovo,42.602636,20.902977,112
Kuwait,29.31166,47.481766,289
Kyrgyzstan,41.20438,74.766098,107
Laos,19.85627,102.495496,9
Latvia,56.879635,24.603189,398
Lebanon,33.854721,35.862285,463
Liberia,6.428055,-9.429499,3
Libya,26.3351,17.228331,10
Liechtenstein,47.166,9.555373,68
Lithuania,55.169438,23.881275,533
Luxembourg,49.815273,6.129583,2178
Madagascar,-18.766947,46.869107,46
Malaysia,4.210484,101.975766,2626
Maldives,3.202778,73.22068,18
Mali,17.570692,-3.996166,18
Malta,35.937496,14.375416,167
Mauritania,21.00789,-10.940835,5
Mauritius,-20.348404,57.552152,143
Mexico,23.634501,-102.552784,1215
Moldova,47.411631,28.369885,353
Monaco,43.750298,7.412841,52
Mongolia,46.862496,103.846656,12
Montenegro,42.708678,19.37439,109
Montserrat,16.742498,-62.187366,5
Morocco,31.791702,-7.09262,617
Mozambique,-18.665695,35.529562,8
Myanmar,21.913965,95.956223,15
Namibia,-22.95764,18.49041,11
Nepal,28.394857,84.124008,5
Netherlands,52.132633,5.291266,12595
New_Caledonia,-20.904305,165.618042,16
New_Zealand,-40.900557,174.885971,647
Nicaragua,12.865416,-85.207229,5
Niger,17.607789,8.081666,20
Nigeria,9.081999,8.675277,131
North_Macedonia,41.608635,21.745275,329
Northern_Mariana_Islands,17.33083,145.38469,6
Norway,60.472024,8.468946,4447
Oman,21.512583,55.923255,192
Pakistan,30.375321,69.345116,2039
Palestine,31.952162,35.233154,117
Panama,8.537981,-80.782127,1181
Papua_New_Guinea,-6.314993,143.95555,1
Paraguay,-23.442503,-58.443832,69
Peru,-9.189967,-75.015152,1065
Philippines,12.879721,121.774017,2084
Poland,51.919438,19.145136,2311
Portugal,39.399872,-8.224454,7443
Puerto_Rico,18.220833,-66.590149,239
Qatar,25.354826,51.183884,781
Romania,45.943161,24.96676,2245
Russia,61.52401,105.318756,2337
Rwanda,-1.940278,29.873888,75
Saint_Kitts_and_Nevis,17.357822,-62.782998,8
Saint_Lucia,13.909444,-60.978893,13
Saint_Vincent_and_the_Grenadines,12.984305,-61.287228,1
San_Marino,43.94236,12.457777,230
Saudi_Arabia,23.885942,45.079162,1563
Senegal,14.497401,-14.452362,175
