time,open,high,low,last,change,volume,cases,deaths,geoid
1/17/2020,29313.31,29373.62,29289.91,29348.1,50.46,336871200,0,0,US
1/21/2020,29269.05,29341.21,29146.47,29196.04,-152.06,320640992,1,0,US
1/22/2020,29263.63,29320.2,29172.26,29186.27,-9.77,283437504,0,0,US
1/23/2020,29111.02,29190.47,28966.98,29160.09,-26.18,307057984,0,0,US
1/24/2020,29230.39,29288.79,28843.31,28989.73,-170.36,380006400,0,0,US
1/27/2020,28542.49,28671.79,28449.22,28535.8,-453.93,337272992,3,0,US
1/28/2020,28594.28,28823.23,28575.75,28722.85,187.05,352936384,0,0,US
1/29/2020,28820.53,28944.24,28728.19,28734.45,11.6,305932800,0,0,US
1/30/2020,28640.16,28879.71,28489.76,28859.44,124.99,326846912,0,0,US
1/31/2020,28813.04,28813.04,28169.53,28256.03,-603.41,403885408,1,0,US
2/3/2020,28319.65,28630.39,28319.65,28399.81,143.78,315495392,3,0,US
2/4/2020,28696.74,28904.88,28696.74,28807.63,407.82,332747104,0,0,US
2/5/2020,29048.73,29308.89,29000.85,29290.85,483.22,357542016,0,0,US
2/6/2020,29388.58,29408.05,29246.93,29379.77,88.92,263701296,1,0,US
2/7/2020,29286.92,29286.92,29056.98,29102.51,-277.26,253870704,0,0,US
2/10/2020,28995.66,29278.07,28995.66,29276.82,174.31,257458208,0,0,US
2/11/2020,29390.71,29415.39,29210.47,29276.34,-0.48,281852096,1,0,US
2/12/2020,29406.75,29568.57,29406.75,29551.42,275.08,309528896,0,0,US
2/13/2020,29436.03,29535.4,29348.51,29423.31,-128.11,294363008,1,0,US
2/14/2020,29440.47,29463.04,29283.18,29398.08,-25.23,232546896,1,0,US
2/18/2020,29282.78,29330.16,29116.81,29232.19,-165.89,264160304,0,0,US
2/19/2020,29312.7,29409.09,29274.38,29348.03,115.84,242653600,0,0,US
2/20/2020,29296.25,29368.45,28959.65,29219.98,-128.05,289073888,0,0,US
2/21/2020,29146.53,29146.53,28892.7,28992.41,-227.57,313438208,1,0,US
2/24/2020,28402.93,28402.93,27912.44,27960.8,-1031.61,458714496,0,0,US
2/25/2020,28037.65,28134.82,26997.62,27081.36,-879.44,513274208,18,0,US
2/26/2020,27159.46,27542.78,26890.97,26957.59,-123.77,477566112,0,0,US
2/27/2020,26526,26775.31,25752.82,25766.64,-1190.95,670366528,6,0,US
2/28/2020,25270.83,25494.24,24681.01,25409.36,-357.28,922679616,1,0,US
3/2/2020,25590.51,26706.17,25396.9,26703.32,1293.96,637199808,20,1,US
3/3/2020,26762.47,27077.89,25706.97,25917.41,-785.91,647082496,14,4,US
3/4/2020,26383.68,27095.5,26286.31,27090.86,1173.45,457591008,22,3,US
3/5/2020,26671.92,26671.92,25943.33,26121.28,-969.58,477366304,34,2,US
3/6/2020,25457.21,25994.38,25229.19,25864.78,-256.5,601008128,74,1,US
3/9/2020,24992.36,24992.36,23706.07,23851.02,-2013.76,750431104,121,4,US
3/10/2020,24453,25020.99,23690.34,25018.16,1167.14,654859328,200,5,US
3/11/2020,24604.63,24604.63,23328.32,23553.22,-1464.94,663956224,271,2,US
3/12/2020,22184.71,22828.23,21176.44,21200.62,-2352.6,911774208,287,2,US
3/13/2020,21973.82,23186.3,21285.37,23185.62,1985,870084288,351,10,US
3/16/2020,20917.53,21768.28,20118.16,20188.52,-2997.1,775905984,823,12,US
3/17/2020,20487.05,21379.35,19882.26,21237.38,1048.86,795840128,887,16,US
3/18/2020,20188.69,20489.33,18917.46,19898.92,-1338.46,874090304,1766,23,US
3/19/2020,19830.01,20442.63,19186.82,20087.19,188.27,795798208,2988,42,US
3/20/2020,20253.15,20531.26,19094.27,19173.98,-913.21,880374272,4835,0,US
3/23/2020,19028.36,19121.01,18213.65,18591.93,-582.05,801235392,8459,131,US
3/24/2020,19722.19,20729.4,19649.25,20704.91,2112.98,808466112,11236,119,US
3/25/2020,21050.34,22019.93,20538.34,21200.55,495.64,803309696,8789,211,US
3/26/2020,21468.38,22595.06,21427.1,22552.17,1351.62,713734720,13963,249,US
3/27/2020,21898.47,22327.57,21469.27,21636.78,-915.39,591330432,16797,246,US
3/30/2020,21678.22,22378.09,21522.08,22327.48,690.7,546850112,18360,318,US
3/31/2020,22208.42,22480.37,21858.69,21917.16,-410.32,573591168,21595,661,US
4/1/2020,21227.38,21487.24,20784.43,20943.51,-973.65,508314592,24998,909,US
4/2/2020,20819.46,21477.77,20735.02,21413.44,469.93,534668800,27103,1059,US
4/3/2020,21285.93,21447.81,20928.54,20890.41,-523.03,195982650,28819,915,US
